data,CO,NO2,O3,PM10,PM2.5,SO2,AQI
2018-1-1,1.9,64,59,312,222,18,272
2018-1-2,1.3,61,56,240,138,39,183
2018-1-3,0.8,39,46,107,56,35,79
2018-1-4,1.1,40,50,76,63,23,85
2018-1-5,1.1,49,81,122,96,22,127
2018-1-6,1.7,72,63,179,141,44,188
2018-1-7,1.9,69,21,202,173,38,223
2018-1-8,0.9,28,79,136,107,19,140
2018-1-9,0.6,35,74,89,41,24,70
2018-1-10,0.8,45,71,103,41,23,77
2018-1-11,0.9,50,62,108,55,31,79
2018-1-12,0.8,49,56,89,47,29,70
2018-1-13,1,65,50,117,82,33,109
2018-1-14,1.2,78,51,138,109,31,143
2018-1-15,1.8,91,44,249,203,40,253
2018-1-16,2.2,78,12,289,240,37,290
2018-1-17,1.6,54,56,240,227,22,277
2018-1-18,2,65,55,312,270,24,320
2018-1-19,1.8,70,65,304,262,23,312
2018-1-20,1.8,68,77,258,225,20,275
2018-1-21,1.7,65,71,289,261,19,311
2018-1-22,1.6,48,41,258,218,14,268
2018-1-23,0.7,37,57,84,60,25,82
2018-1-24,0.8,37,65,96,65,26,88
2018-1-25,0.7,34,51,78,47,33,65
2018-1-26,0.7,29,79,71,49,29,68
2018-1-27,1,37,46,93,72,25,97
2018-1-28,1.3,40,61,154,172,26,222
2018-1-29,1.5,52,62,235,225,20,275
2018-1-30,1.4,67,72,199,158,27,208
2018-1-31,1.2,64,71,177,129,34,170
2018-2-1,1.3,68,56,186,128,33,169
2018-2-2,0.8,46,70,150,68,21,100
2018-2-3,0.9,55,72,108,55,34,79
2018-2-4,0.9,59,80,127,77,27,103
2018-2-5,1,55,66,135,86,31,114
2018-2-6,0.7,39,74,84,58,16,79
2018-2-7,0.8,43,73,129,76,22,102
2018-2-8,1,53,87,132,75,24,100
2018-2-9,1.8,80,37,197,151,39,201
2018-2-10,1,47,65,219,80,34,135
2018-2-11,0.9,40,86,241,76,22,146
2018-2-12,0.8,42,90,126,50,20,88
2018-2-13,0.8,38,119,131,74,22,99
2018-2-14,1.2,39,114,187,129,31,170
2018-2-15,0.7,17,97,78,59,21,80
2018-2-16,0.8,22,78,117,92,21,122
2018-2-17,0.9,22,140,141,127,15,168
2018-2-18,0.6,18,85,68,47,22,65
2018-2-19,0.7,22,76,72,56,14,77
2018-2-20,1.1,39,83,138,115,18,150
2018-2-21,1.4,30,50,169,165,8,215
2018-2-22,1.1,27,102,109,122,8,160
2018-2-23,0.8,29,105,85,69,12,93
2018-2-24,0.9,31,83,120,81,21,108
2018-2-25,0.6,27,78,70,53,13,73
2018-2-26,0.9,46,99,129,109,16,143
2018-2-27,1,52,93,144,119,20,156
2018-2-28,1.3,35,75,154,151,8,201
2018-3-1,1,39,59,136,95,14,125
2018-3-2,0.7,23,96,88,73,10,98
2018-3-3,0.9,30,62,111,103,8,135
2018-3-4,1.1,35,52,105,71,11,95
2018-3-5,0.7,31,92,81,53,16,73
2018-3-6,0.7,40,75,81,51,25,70
2018-3-7,0.8,38,79,84,59,19,80
2018-3-8,0.9,45,110,119,87,17,115
2018-3-9,0.7,46,119,108,84,18,112
2018-3-10,0.9,57,124,138,103,21,135
2018-3-11,1,65,120,142,110,20,144
2018-3-12,1,62,142,157,135,23,179
2018-3-13,0.9,64,162,120,80,26,107
2018-3-14,1,66,142,150,117,24,153
2018-3-15,0.9,44,77,128,101,17,133
2018-3-16,0.6,28,102,56,32,14,53
2018-3-17,0.6,29,83,70,53,8,73
2018-3-18,0.9,40,46,69,69,10,93
2018-3-19,1.1,54,51,108,84,18,112
2018-3-20,1,44,72,94,64,22,87
2018-3-21,0.8,50,109,111,83,18,110
2018-3-22,1,67,110,154,110,21,144
2018-3-23,1.2,58,137,155,122,21,160
2018-3-24,1,63,148,164,126,21,166
2018-3-25,1.4,80,215,250,212,24,262
2018-3-26,1.3,67,156,200,156,21,206
2018-3-27,0.8,43,145,116,77,22,103
2018-3-28,0.8,47,159,120,70,20,100
2018-3-29,1.1,59,173,180,105,29,138
2018-3-30,0.6,33,122,89,56,20,77
2018-3-31,0.9,45,92,140,132,14,175
2018-4-1,1.1,50,148,166,152,18,202
2018-4-2,1.2,50,170,145,136,24,180
2018-4-3,1.1,45,176,195,141,24,188
2018-4-4,0.5,27,82,90,41,16,70
2018-4-5,0.7,37,45,83,71,14,95
2018-4-6,0.5,21,103,111,51,10,81
2018-4-7,0.4,26,113,97,31,14,74
2018-4-8,0.5,40,129,145,48,17,98
2018-4-9,0.7,43,139,154,70,18,102
2018-4-10,0.7,44,152,157,66,25,104
2018-4-11,0.7,36,109,174,70,22,112
2018-4-12,0.5,31,89,63,39,12,57
2018-4-13,0.5,28,79,58,31,12,54
2018-4-14,0.6,25,90,155,50,13,103
2018-4-15,0.6,35,135,186,51,18,118
2018-4-16,0.7,47,154,217,66,17,134
2018-4-17,0.6,31,177,183,60,15,117
2018-4-18,0.7,30,174,169,69,15,113
2018-4-19,0.7,27,200,139,67,18,137
2018-4-20,0.8,29,217,135,90,18,152
2018-4-21,0.8,24,149,102,60,16,91
2018-4-22,0.9,24,55,53,48,9,67
2018-4-23,0.9,28,95,63,47,14,65
2018-4-24,0.8,29,163,83,48,18,103
2018-4-25,0.8,38,198,90,54,19,135
2018-4-26,0.9,25,152,86,65,15,94
2018-4-27,1.2,41,198,111,77,17,135
2018-4-28,1.1,34,199,124,83,16,136
2018-4-29,1.1,38,166,125,80,19,107
2018-4-30,1.2,38,157,116,76,16,102
2018-5-1,1.1,27,192,109,77,16,130
2018-5-2,0.8,21,148,90,53,12,90
2018-5-3,0.7,44,156,94,37,16,97
2018-5-6,0.9,27,89,55,54,10,74
2018-5-7,1,37,151,93,62,15,93
2018-5-8,1,48,179,111,55,17,118
2018-5-9,0.8,43,184,95,48,13,122
2018-5-10,0.7,25,150,75,50,10,92
2018-5-11,0.8,36,45,71,55,8,75
2018-5-12,1,35,185,80,57,11,123
2018-5-13,1,26,159,77,42,13,100
2018-5-14,1.1,29,150,80,47,16,92
2018-5-15,0.9,24,122,81,45,14,69
2018-5-16,0.8,22,97,54,29,11,52
2018-5-17,0.8,19,139,69,46,10,83
2018-5-18,0.9,25,154,76,37,13,95
2018-5-19,0.7,25,151,75,33,13,93
2018-5-20,0.6,17,82,42,24,6,42
2018-5-21,0.6,22,90,49,26,8,49
2018-5-22,0.9,30,87,57,30,7,54
2018-5-23,0.9,33,156,147,50,13,99
2018-5-24,1,47,80,124,54,13,87
2018-5-25,1,33,103,81,62,9,84
2018-5-26,0.9,22,112,74,49,7,68
2018-5-27,1,35,151,164,74,12,107
2018-5-28,1,48,203,240,81,19,145
2018-5-29,0.9,48,149,180,59,19,115
2018-5-30,0.9,43,210,183,72,17,146
2018-5-31,0.7,39,188,85,32,15,126
2018-6-1,0.8,32,239,117,49,14,174
2018-6-2,0.8,25,208,100,43,14,144
2018-6-3,0.9,36,246,108,48,16,181
2018-6-4,1,33,221,128,60,16,156
2018-6-5,0.9,27,233,144,56,15,168
2018-6-6,0.8,24,210,108,46,13,146
2018-6-7,0.9,28,220,108,46,14,155
2018-6-8,0.9,30,263,133,53,13,198
2018-6-9,0.7,23,137,69,32,9,81
2018-6-10,0.8,17,156,62,29,10,97
2018-6-11,0.9,30,218,73,35,17,153
2018-6-12,0.8,31,190,88,34,17,128
2018-6-13,0.8,24,197,92,27,19,134
2018-6-14,0.8,24,203,68,26,16,140
2018-6-15,0.9,25,239,80,40,14,174
2018-6-16,0.6,15,150,61,32,10,92
2018-6-17,0.6,16,151,61,27,11,93
2018-6-18,0.7,23,118,78,46,11,65
2018-6-19,0.6,20,112,46,33,10,60
2018-6-20,0.9,28,221,91,60,13,156
2018-6-21,0.8,30,175,72,45,11,114
2018-6-22,0.7,33,163,64,30,12,103
2018-6-23,0.6,22,173,45,22,11,112
2018-6-24,0.8,23,192,70,43,12,130
2018-6-25,0.9,26,107,76,47,10,65
2018-6-26,0.9,23,96,50,25,12,50
2018-6-27,0.8,20,128,44,24,11,74
2018-6-28,0.9,23,188,45,26,13,126
2018-6-29,0.9,31,196,64,38,14,133
2018-6-30,0.9,23,184,87,59,12,122
2018-7-1,0.7,18,162,51,32,10,102
2018-7-2,0.6,18,120,51,31,10,67
2018-7-3,1,29,107,75,48,12,67
2018-7-4,1,34,83,67,45,10,63
2018-7-5,0.8,22,83,49,34,10,49
2018-7-6,0.6,13,79,30,15,9,40
2018-7-7,0.7,15,89,39,23,9,45
2018-7-8,0.7,17,44,26,14,7,26
2018-7-9,0.8,22,44,16,9,7,28
2018-7-10,1.1,27,30,44,29,7,44
2018-7-11,0.8,17,95,69,39,8,60
2018-7-12,0.7,18,113,54,24,9,61
2018-7-13,0.7,21,131,55,26,11,76
2018-7-14,0.8,21,140,57,27,13,84
2018-7-15,0.8,20,154,59,28,13,95
2018-7-16,0.8,20,179,74,38,12,118
2018-7-17,0.8,21,156,68,32,13,97
2018-7-18,0.8,20,159,60,26,12,100
2018-7-19,0.8,21,203,69,33,12,140
2018-7-20,0.8,18,199,68,34,11,136
2018-7-21,0.7,19,136,69,39,12,80
2018-7-22,0.6,16,82,59,28,15,55
2018-7-23,0.7,21,94,50,19,15,50
2018-7-24,0.8,23,123,55,24,15,70
2018-7-25,0.9,30,170,80,36,13,110
2018-7-26,0.8,25,131,56,26,12,76
2018-7-27,0.8,16,119,29,14,11,66
2018-7-28,0.8,23,112,34,17,11,60
2018-7-29,0.8,35,82,52,24,12,51
2018-7-30,0.8,29,84,33,17,10,42
2018-7-31,1,36,137,59,34,12,81
2018-8-1,1.2,40,168,101,60,14,108
2018-8-2,0.9,31,172,73,41,13,111
2018-8-3,0.8,28,127,61,28,14,73
2018-8-4,0.9,24,69,34,17,12,35
2018-8-5,0.8,23,123,53,30,11,70
2018-8-6,1,31,154,84,50,12,95
2018-8-7,0.9,28,151,73,40,12,93
2018-8-8,1,24,172,79,44,12,111
2018-8-9,1,31,195,70,35,14,132
2018-8-10,1.2,42,157,104,57,15,98
2018-8-11,0.8,20,149,54,29,13,91
2018-8-12,0.8,20,116,49,23,13,64
2018-8-13,0.7,19,50,34,16,13,34
2018-8-14,0.8,17,109,30,15,12,58
2018-8-15,0.9,24,140,42,22,17,84
2018-8-16,1,27,88,47,22,17,47
2018-8-17,0.8,18,72,42,19,12,42
2018-8-18,0.6,11,63,27,9,10,32
2018-8-19,0.9,16,76,27,13,11,38
2018-8-20,0.8,15,104,30,17,12,54
2018-8-21,1,31,155,57,31,17,96
2018-8-22,1.2,24,191,75,45,17,129
2018-8-23,1.2,34,187,64,30,24,125
2018-8-24,1.3,39,171,72,36,24,110
2018-8-25,1,19,109,78,49,13,68
2018-8-26,0.8,20,168,60,27,15,108
2018-8-27,0.8,25,136,55,22,14,80
2018-8-28,0.8,24,123,64,36,11,70
2018-8-29,0.8,28,147,65,29,13,90
2018-8-30,0.8,20,133,63,30,12,78
2018-8-31,0.8,22,100,60,30,13,55
2018-9-1,0.7,24,135,46,17,14,80
2018-9-2,0.7,25,106,46,19,12,55
2018-9-3,0.9,24,162,65,34,13,102
2018-9-4,0.7,39,128,63,24,21,74
2018-9-5,0.9,58,119,87,32,21,73
2018-9-6,0.7,28,148,64,29,15,90
2018-9-7,0.5,27,119,51,12,16,66
2018-9-8,0.7,48,134,68,26,21,79
2018-9-9,0.7,50,167,99,42,20,107
2018-9-10,0.5,35,129,53,17,13,75
2018-9-11,0.5,36,127,59,23,13,73
2018-9-12,0.6,42,111,72,31,14,61
2018-9-13,0.5,29,99,57,22,12,54
2018-9-14,0.5,28,78,43,23,10,43
2018-9-15,0.9,38,120,86,52,18,72
2018-9-15,0.9,38,120,86,52,18,72
2018-9-16,0.9,32,93,68,45,12,63
2018-9-17,0.9,32,93,68,45,12,63
2018-9-24,0.9,34,167,87,33,21,107
2018-9-25,0.6,35,92,64,27,13,57
2018-9-26,0.9,49,105,98,46,15,74
2018-9-27,0.9,49,105,98,46,15,74
2018-9-28,0.7,46,146,73,35,12,89
2018-9-29,0.9,64,149,126,53,15,91
2018-9-30,0.6,43,111,93,27,16,72
2018-10-1,0.6,41,97,71,23,16,61
2018-10-2,0.7,60,132,101,36,18,77
